yyyyq,Index,D3,D12,E3,E12,bm,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
18952,4.7,NaN,0.2,NaN,0.205,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.005819773,NaN,NaN,NaN,0.004809581,NaN,NaN,NaN,NaN
18953,4.82,NaN,0.195,NaN,0.228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006615224,NaN,NaN,NaN,0.003438135,NaN,NaN,NaN,NaN
18954,4.32,NaN,0.19,NaN,0.25,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008985278,NaN,NaN,NaN,0.016944813,NaN,NaN,NaN,NaN
18961,4.38,NaN,0.188,NaN,0.24,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011463626,NaN,NaN,NaN,0.006730929,NaN,NaN,NaN,NaN
18962,4.32,NaN,0.185,NaN,0.23,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009272119,NaN,NaN,NaN,0.006051778,NaN,NaN,NaN,NaN
18963,4.01,NaN,0.183,NaN,0.22,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.014496553,NaN,NaN,NaN,0.019960208,NaN,NaN,NaN,NaN
18964,4.22,NaN,0.18,NaN,0.21,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.011754763,NaN,NaN,NaN,0.013690319,NaN,NaN,NaN,NaN
18971,4.19,NaN,0.18,NaN,0.235,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006026265,NaN,NaN,NaN,0.004372188,NaN,NaN,NaN,NaN
18972,4.27,NaN,0.18,NaN,0.26,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006423909,NaN,NaN,NaN,0.004342848,NaN,NaN,NaN,NaN
18973,4.98,NaN,0.18,NaN,0.285,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007189582,NaN,NaN,NaN,0.006196213,NaN,NaN,NaN,NaN
18974,4.75,NaN,0.18,NaN,0.31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007020213,NaN,NaN,NaN,0.007840268,NaN,NaN,NaN,NaN
18981,4.65,NaN,0.185,NaN,0.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007042022,NaN,NaN,NaN,0.015845992,NaN,NaN,NaN,NaN
18982,5.06,NaN,0.19,NaN,0.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00896978,NaN,NaN,NaN,0.010269571,NaN,NaN,NaN,NaN
18983,5.26,NaN,0.195,NaN,0.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007329478,NaN,NaN,NaN,0.003646442,NaN,NaN,NaN,NaN
18984,5.65,NaN,0.2,NaN,0.35,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006099907,NaN,NaN,NaN,0.002662402,NaN,NaN,NaN,NaN
18991,6.4,NaN,0.203,NaN,0.383,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.006151332,NaN,NaN,NaN,0.003897196,NaN,NaN,NaN,NaN
18992,6.07,NaN,0.205,NaN,0.415,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00673317,NaN,NaN,NaN,0.007834833,NaN,NaN,NaN,NaN
18993,6.37,NaN,0.208,NaN,0.448,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00846272,NaN,NaN,NaN,0.003273759,NaN,NaN,NaN,NaN
18994,6.02,NaN,0.21,NaN,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.01106666,NaN,NaN,NaN,0.012090754,NaN,NaN,NaN,NaN
19001,6.26,NaN,0.233,NaN,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009389925,NaN,NaN,NaN,0.004492206,NaN,NaN,NaN,NaN
19002,5.86,NaN,0.255,NaN,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007491404,NaN,NaN,NaN,0.004688248,NaN,NaN,NaN,NaN
19003,5.8,NaN,0.278,NaN,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.008175933,NaN,NaN,NaN,0.003037831,NaN,NaN,NaN,NaN
19004,6.87,NaN,0.3,NaN,0.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.009382558,NaN,NaN,NaN,0.004941829,NaN,NaN,NaN,NaN
19011,7.51,NaN,0.305,NaN,0.485,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007373666,NaN,NaN,NaN,0.003920421,NaN,NaN,NaN,NaN
19012,8.5,NaN,0.31,NaN,0.49,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.007675477,NaN,NaN,NaN,0.018050104,NaN,NaN,NaN,NaN
19013,8,NaN,0.315,NaN,0.495,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00904415,NaN,NaN,NaN,0.012270403,NaN,NaN,NaN,NaN
