yyyy,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,eqis,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx
1934,9.50,0.450,0.490,0.7737408689,0.0023,0.0381,0.0623,0.0293,NaN,0.0189704496,0.0027828744,0.0201040904,0.0712830957,0.1001499787,0.1384344607,0.0641535826,NaN,NaN,-0.0248897392,-0.0611826131
1935,13.43,0.470,0.760,0.5599111913,0.0015,0.0344,0.0530,0.0276,NaN,0.0120292271,0.0016748812,0.0296053183,0.0661959400,0.0499608756,0.0961485607,0.0344838978,NaN,NaN,0.4566819043,0.4005951421
1936,17.18,0.720,1.020,0.4585881045,0.0012,0.0310,0.0453,0.0255,NaN,0.0182309855,0.0017248710,0.0119625642,0.1205766710,0.0749580625,0.0674428368,0.0305523697,NaN,NaN,0.3363772516,0.2814397459
1937,10.55,0.800,1.130,0.7074886223,0.0011,0.0321,0.0573,0.0273,NaN,0.0237459040,0.0027579425,0.0308512923,0.3123715577,0.0023264739,0.0274673148,0.0982764024,0.0028331217,NaN,-0.3604877070,-0.3947108645
1938,13.21,0.510,0.640,0.5720393884,0.0003,0.0308,0.0527,0.0252,NaN,0.0090465000,0.0006499806,-0.0279609209,0.0449227890,0.0551181729,0.0613265536,0.1081245281,0.0041669638,NaN,0.2939588247,0.2437757339
1939,12.49,0.620,0.900,0.5807053804,0.0004,0.0294,0.0492,0.0226,NaN,0.0057960311,0.0004583209,-0.0049931762,0.0854898336,0.0594971434,0.0396627601,0.0636763040,0.0060740339,NaN,-0.0109079027,-0.0564850426
1940,10.58,0.670,1.050,0.7290475101,0.0002,0.0271,0.0445,0.0194,NaN,0.0106832922,0.0003583255,0.0095121420,0.1187115454,0.0609224311,0.0339408516,0.0471512622,0.0042619728,NaN,-0.0971375094,-0.1509491275
1941,8.69,0.710,1.160,0.8895097332,0.0033,0.0280,0.0438,0.0204,NaN,0.0124099610,0.0012915669,0.0965489832,0.1142093201,0.0093182080,0.0273141837,0.0222356982,0.0034469828,NaN,-0.1116621343,-0.1747513444
1942,9.77,0.590,1.030,0.8626465662,0.0038,0.0281,0.0428,0.0246,NaN,0.0018000118,0.0034244999,0.0924356396,0.1238003839,0.0321784290,0.0259811379,0.0178978570,0.0051009425,NaN,0.2083276381,0.1285042850
1943,11.67,0.610,0.940,0.7874015748,0.0038,0.0274,0.0382,0.0248,NaN,0.0195324012,0.0037993985,0.0313356268,0.1643059490,0.0208788999,0.0283259345,0.0161801579,0.0019623979,NaN,0.2654102204,0.2020311229
1944,13.28,0.640,0.930,0.7437635753,0.0038,0.0270,0.0349,0.0246,NaN,0.0079311023,0.0037993985,0.0210122036,0.1645244216,0.0281508917,0.0473218913,0.0080327093,0.0035223172,NaN,0.2102631500,0.1499929176
1945,17.36,0.660,0.960,0.6132393344,0.0038,0.0261,0.0310,0.0199,0.1689643792,0.0213726910,0.0037993985,0.0224158663,0.2117400419,0.1073090389,0.0407567428,0.0155197260,0.0043280057,NaN,0.3623624426,0.3053672976
1946,15.30,0.710,1.060,0.6924379233,0.0038,0.0261,0.0317,0.0212,0.2682497808,0.0512072296,0.0037993985,0.1787034298,0.3184821017,-0.0008419237,0.0172295564,0.0445322857,0.0017810408,NaN,-0.0879420274,-0.1241266016
1947,15.30,0.840,1.610,0.7253256790,0.0095,0.0286,0.0352,0.0243,0.2891200386,0.0302440801,0.0060066063,0.0892673084,0.2396298660,-0.0262746615,-0.0233638347,0.0188228578,0.0047609245,0.0348254595,0.0490480132,-0.0065302208
