yyyyq,Index,D12,E12,b/m,tbl,AAA,BAA,lty,cay,ntis,Rfree,infl,ltr,corpr,svar,csp,ik,CRSP_SPvw,CRSP_SPvwx,D3,E3
20032,974.51,16.165,34.550,0.2544883373,0.0092,0.0497,0.0619,0.0445,0.0073992913,0.0012557291,0.0023000000,-0.0027144408,0.0535257809,0.0557621662,0.0072909206,NaN,0.0347428703,0.1550485850,0.1500739153,4.086,11.100
20033,995.97,16.586,38.580,0.2465417826,0.0094,0.0572,0.0679,0.0523,0.0088522725,0.0073209622,0.0023500000,0.0081654872,-0.0331744846,-0.0212562983,0.0048812058,NaN,0.0351373102,0.0267366914,0.0222877999,4.322,12.560
20034,"1,111.92",17.385,48.740,0.2187398648,0.0090,0.0562,0.0660,0.0515,0.0029252222,0.0069460961,0.0022500000,-0.0048596112,-0.0174534279,-0.0015169173,0.0032209080,NaN,0.0352219828,0.1204963950,0.1151994532,5.055,13.160
20041,"1,126.21",18.024,52.000,0.2817314655,0.0094,0.0533,0.0611,0.0474,0.0054020679,0.0122458054,0.0023500000,0.0168204015,0.0568241344,0.0490674877,0.0035707934,NaN,0.0345208971,0.0182680513,0.0141655413,4.561,15.180
20042,"1,140.84",18.602,56.150,0.2796316030,0.0127,0.0601,0.0678,0.0532,0.0019318879,0.0144483006,0.0031750000,0.0122732124,-0.0522696815,-0.0513799840,0.0029793061,NaN,0.0350504265,0.0172783675,0.0130347492,4.664,15.250
20043,"1,114.58",19.163,57.770,0.2894853015,0.0165,0.0546,0.0627,0.0488,-0.0010150002,0.0090860657,0.0041250000,0.0010542963,0.0657461276,0.0693189307,0.0029256060,NaN,0.0356933652,-0.0187720960,-0.0231144778,4.883,14.180
20044,"1,211.92",19.442,58.550,0.2706192427,0.0219,0.0547,0.0615,0.0484,0.0038916183,0.0129602109,0.0054750000,0.0021063718,0.0164306310,0.0216710504,0.0028157301,NaN,0.0360410387,0.0917670927,0.0834408457,5.334,13.940
20051,"1,180.59",20.225,60.220,0.3198568893,0.0274,0.0540,0.0606,0.0488,0.0049252227,0.0090900057,0.0068500000,0.0157645822,0.0094949248,0.0034873880,0.0025157385,NaN,0.0361648943,-0.0203611723,-0.0248173962,5.344,16.850
20052,"1,191.33",20.925,63.260,0.3269790569,0.0297,0.0496,0.0586,0.0429,0.0067245299,0.0053659598,0.0074250000,0.0062079669,0.0859452104,0.0781552716,0.0032273958,NaN,0.0363437120,0.0142008796,0.0096149051,5.364,18.290
20053,"1,228.81",21.471,66.470,0.3178915098,0.0342,0.0513,0.0603,0.0464,0.0100176162,0.0067287092,0.0085500000,0.0221079692,-0.0303787244,-0.0326167959,0.0020065133,NaN,0.0366852143,0.0361545522,0.0315760010,5.429,17.390
